temperature,humidity,wind_speed,pressure,visibility,dew_point,cloud_cover,region,season,weather_condition
29.0,30,7.92,1007.6,9.8,27.6,91,East,Winter,Cloudy
23.9,85,1.03,1005.9,2.8,15.1,11,West,Autumn,Stormy
30.2,33,0.81,1011.3,6.7,26.8,26,South,Monsoon,Stormy
37.2,59,24.89,1023.2,6.2,30.2,0,South,Summer,Sunny
23.1,41,26.47,1019.2,6.1,20.2,63,North,Monsoon,Stormy
23.1,64,12.44,997.2,6.5,18.1,73,South,Monsoon,Stormy
37.6,81,12.8,1008.7,5.5,29.4,96,North,Winter,Rainy
31.1,60,13.58,1006.6,1.2,29.5,79,North,Summer,Stormy
21.2,97,27.21,997.4,9.1,11.4,38,East,Monsoon,Stormy
29.3,81,2.33,1015.8,8.4,28.6,59,South,Winter,Stormy
21.3,36,37.16,1012.0,2.6,16.0,69,West,Summer,Stormy
21.3,51,8.9,1033.2,4.7,12.1,53,North,Monsoon,Stormy
26.9,85,39.99,1009.7,7.9,17.4,24,North,Autumn,Stormy
9.7,87,6.86,1005.2,9.8,7.4,19,West,Winter,Stormy
11.2,93,30.86,1004.3,9.6,9.8,35,South,Monsoon,Stormy
20.5,41,8.94,1008.5,9.1,13.3,22,West,Monsoon,Stormy
16.9,36,3.23,1018.9,2.4,16.5,79,South,Summer,Stormy
27.5,84,35.0,1020.0,9.2,22.6,0,South,Autumn,Stormy
17.7,91,34.35,1042.3,8.9,9.7,93,South,Winter,Rainy
13.7,84,16.14,1000.9,4.4,8.1,26,South,Summer,Stormy
36.7,65,28.1,1013.9,4.6,34.8,51,South,Monsoon,Stormy
23.2,53,22.28,1006.2,5.1,18.3,1,South,Winter,Stormy
25.5,73,34.12,1016.5,6.9,16.3,20,North,Monsoon,Stormy
13.6,46,12.6,1026.8,3.3,7.4,8,East,Monsoon,Stormy
20.6,31,20.95,1021.6,1.2,13.4,87,North,Autumn,Cloudy
25.9,42,19.41,1000.9,2.3,22.5,47,North,Monsoon,Stormy
15.8,60,14.16,1019.8,5.0,13.9,38,West,Winter,Stormy
28.0,57,35.66,991.9,3.5,25.4,41,East,Monsoon,Stormy
20.2,89,6.64,989.2,7.9,14.9,70,East,Winter,Stormy
22.7,56,5.98,1010.5,2.0,19.9,93,East,Autumn,Cloudy
20.2,44,23.08,1019.1,9.3,14.8,44,South,Monsoon,Stormy
39.8,62,26.3,1016.5,9.1,32.7,1,South,Summer,Stormy
24.9,49,7.78,1032.1,9.2,17.6,75,South,Winter,Stormy
16.5,71,15.63,1014.1,7.7,14.9,76,North,Monsoon,Stormy
31.6,41,37.86,1011.9,2.0,24.1,66,East,Summer,Stormy
15.2,52,9.86,1024.6,4.9,8.5,42,East,Winter,Stormy
26.7,43,26.73,1009.3,2.2,26.6,17,North,Summer,Stormy
9.3,54,29.61,1016.9,9.9,8.7,38,South,Monsoon,Stormy
14.4,60,17.93,1017.5,4.0,7.9,5,West,Autumn,Stormy
26.6,83,37.5,1003.3,6.3,22.8,41,East,Autumn,Stormy
30.9,34,29.47,1016.9,8.0,29.4,51,North,Summer,Stormy
26.4,42,18.32,1034.9,9.3,26.0,26,South,Monsoon,Stormy
24.1,57,22.77,1024.4,7.8,22.5,78,North,Monsoon,Stormy
22.6,72,27.7,1004.6,7.1,13.0,14,West,Winter,Stormy
13.2,76,23.69,1036.4,5.2,5.9,18,West,Monsoon,Stormy
19.2,67,35.15,1019.9,6.4,13.9,61,South,Autumn,Stormy
21.3,96,14.28,1017.2,1.8,11.9,63,North,Monsoon,Stormy
33.5,91,12.0,1012.0,9.0,27.3,50,South,Winter,Stormy
27.7,68,8.55,1019.8,5.9,20.4,46,North,Winter,Stormy
10.9,66,1.51,1014.1,1.4,8.1,56,North,Monsoon,Stormy
27.6,37,1.72,1013.2,9.3,21.7,19,West,Monsoon,Stormy
21.9,81,34.8,1011.7,5.4,20.5,19,North,Winter,Stormy
19.6,62,27.14,1022.7,8.8,15.6,81,North,Winter,Stormy
29.9,71,26.42,1021.6,8.7,29.6,63,West,Summer,Stormy
33.2,56,24.59,1011.5,8.3,31.0,97,East,Autumn,Cloudy
32.5,37,33.97,997.8,1.6,31.8,98,East,Autumn,Cloudy
18.3,52,19.21,1013.4,3.2,14.4,37,East,Summer,Stormy
